CO2,Radiation,diameter,humidity,outside_temperature,inside_temperature,measurement,Yield
68.03,39.64,46.34,0.76,68.03,42.4,9.41,11.5
67.86,40.08,46.82,0.77,67.86,42.85,9.51,11.5
68.41,41.38,46.13,0.73,68.41,44.97,9.92,11.5
68.72,41.23,46.2,0.73,68.72,44.7,9.92,11.5
69.14,41.11,46.3,0.73,69.14,44.52,9.94,11.5
58.92,35.04,40.33,0.78,58.92,40.79,9.68,22.0
60.99,35.65,40.48,0.74,60.99,43.05,9.42,22.0
60.22,35.87,40.4,0.75,60.22,42.07,9.46,22.0
59.9,36.04,40.5,0.76,59.9,41.73,9.54,22.0
59.98,34.91,40.93,0.78,59.98,41.02,9.62,22.0
59.65,35.04,40.68,0.78,59.65,40.67,9.62,22.0
41.69,27.69,25.67,0.58,46.27,35.29,10.0,32.3
45.37,29.84,26.05,0.54,49.19,36.77,10.0,32.3
45.36,29.87,26.05,0.54,49.19,36.8,10.0,32.3
45.42,29.96,26.08,0.54,49.23,36.88,10.0,32.3
45.46,30.1,26.12,0.54,49.27,37.01,10.0,32.3
45.35,29.85,26.04,0.54,49.19,36.78,10.0,32.3
63.14,31.52,31.97,0.6,63.14,36.26,9.99,24.2
63.01,31.48,32.06,0.62,63.01,36.9,9.99,24.2
62.82,31.49,31.49,0.59,62.82,36.18,10.0,24.2
62.79,31.47,31.61,0.59,62.79,36.44,10.0,24.2
62.83,31.52,31.61,0.59,62.83,36.4,10.0,24.2
63.09,31.38,32.05,0.61,63.09,36.67,9.99,24.2
42.14,20.61,25.02,0.69,44.65,26.41,10.0,40.9
42.41,22.88,24.57,0.65,45.07,29.02,10.0,40.9
42.43,22.86,24.57,0.65,45.09,29.0,10.0,40.9
42.91,18.28,24.67,0.7,45.3,24.36,10.0,40.9
42.9,18.28,24.69,0.7,45.29,24.38,10.0,40.9
42.49,18.32,25.73,0.72,44.96,25.28,10.0,40.9
43.85,31.03,27.9,0.54,49.56,37.42,10.0,48.4
42.97,28.43,28.08,0.56,49.08,36.45,10.0,48.4
42.99,28.51,28.1,0.56,49.13,36.22,10.0,48.4
41.75,29.93,27.44,0.55,48.24,36.83,10.0,48.4
42.59,25.93,28.08,0.59,48.71,35.05,10.0,48.4
42.55,24.9,28.08,0.59,48.66,34.46,10.0,48.4
57.41,26.47,32.05,0.67,57.41,32.09,9.9,44.5
56.37,26.26,30.65,0.66,56.37,31.68,9.98,44.5
56.81,26.67,31.53,0.67,56.81,31.61,9.98,44.5
56.84,26.58,31.57,0.67,56.84,31.58,9.98,44.5
56.24,24.29,30.32,0.68,56.24,30.02,9.99,44.5
56.42,24.96,30.25,0.67,56.42,30.3,9.99,44.5
58.0,32.18,34.37,0.65,58.0,37.49,9.91,51.6
57.81,31.89,34.27,0.65,57.81,37.75,9.92,51.6
57.67,31.63,34.21,0.65,57.67,38.06,9.93,51.6
58.05,32.31,34.35,0.65,58.05,37.19,9.91,51.6
58.19,31.28,35.07,0.65,58.19,37.61,9.96,51.6
57.56,30.75,34.49,0.65,57.56,37.39,9.97,51.6
62.0,15.94,19.6,0.51,62.0,25.67,10.0,33.3
62.27,15.54,19.46,0.51,62.27,25.48,10.0,33.3
61.76,16.34,19.89,0.51,61.76,25.78,10.0,33.3
61.79,16.28,19.81,0.51,61.79,25.78,10.0,33.3
61.43,17.7,21.44,0.53,61.43,26.95,10.0,33.3
61.52,17.61,21.41,0.53,61.52,26.87,10.0,33.3
62.18,31.54,39.51,0.75,62.18,37.1,10.0,9.6
62.07,31.51,39.5,0.75,62.07,37.16,10.0,9.6
62.32,31.62,39.53,0.75,62.32,37.19,10.0,9.6
62.18,31.55,39.51,0.75,62.18,37.14,10.0,9.6
64.31,34.25,37.69,0.7,64.31,37.16,10.0,9.6
64.32,34.25,37.69,0.7,64.32,37.16,10.0,9.6
42.63,26.34,28.1,0.58,48.74,35.19,10.0,42.4
41.28,29.77,27.3,0.55,47.9,36.78,10.0,42.4
42.47,30.04,30.39,0.68,46.54,36.61,9.82,42.4
42.6,29.77,30.68,0.69,46.47,36.37,9.8,42.4
41.82,29.36,30.26,0.65,47.86,36.29,9.82,42.4
41.0,27.04,30.1,0.68,47.11,34.37,9.83,42.4
62.53,27.91,27.6,0.53,62.53,34.44,10.0,17.7
62.66,26.85,26.72,0.53,62.66,32.94,10.0,17.7
62.7,27.13,25.73,0.51,62.7,33.01,10.0,17.7
62.56,26.95,25.56,0.51,62.56,32.73,10.0,17.7
56.27,22.55,29.27,0.69,56.27,27.93,9.6,35.5
56.6,21.16,29.05,0.68,56.6,27.69,9.41,35.5
56.57,21.27,29.07,0.68,56.57,27.72,9.43,35.5
56.36,22.05,29.2,0.69,56.36,27.86,9.53,35.5
56.15,23.08,29.34,0.69,56.15,27.94,9.66,35.5
56.04,23.79,29.42,0.7,56.04,27.98,9.74,35.5
66.41,33.16,43.46,0.77,66.41,38.14,9.26,23.5
66.1,35.22,43.08,0.75,66.1,39.86,9.77,23.5
65.32,34.25,42.88,0.76,65.32,39.23,9.86,23.5
65.3,34.35,42.98,0.76,65.3,39.29,9.86,23.5
66.8,37.4,44.39,0.76,66.8,41.15,9.74,23.5
66.67,37.09,44.2,0.76,66.67,40.86,9.74,23.5
61.79,35.33,42.54,0.78,61.79,40.91,9.88,32.6
61.84,35.29,42.6,0.78,61.84,41.22,9.9,32.6
61.77,34.99,42.53,0.78,61.77,41.29,9.9,32.6
61.53,34.67,42.19,0.78,61.53,41.35,9.79,32.6
61.22,34.2,41.55,0.78,61.22,41.35,9.77,32.6
61.7,34.91,42.0,0.77,61.7,41.88,9.81,32.6
58.55,19.1,27.98,0.65,58.55,26.24,9.29,25.7
58.5,18.16,27.98,0.66,58.5,26.0,9.17,25.7
57.45,18.95,28.74,0.67,57.45,26.23,9.43,25.7
58.43,18.79,28.07,0.65,58.43,26.19,9.19,25.7
58.55,18.83,27.98,0.65,58.55,26.19,9.21,25.7
59.58,18.72,27.67,0.65,59.58,26.01,9.42,25.7
62.51,35.18,42.84,0.76,62.51,40.13,10.0,69.0
67.52,35.14,44.45,0.75,67.52,40.51,9.78,15.2
67.7,35.49,44.5,0.74,67.7,41.02,10.0,15.2
67.01,35.57,44.21,0.76,67.01,40.36,9.69,15.2
66.94,35.91,44.2,0.76,66.94,40.52,9.65,15.2
67.52,33.61,44.02,0.74,67.52,39.38,10.0,15.2
67.51,33.51,44.01,0.74,67.51,39.33,10.0,15.2
68.03,36.47,45.7,0.77,68.03,40.5,9.37,13.2
67.95,38.97,46.24,0.77,67.95,42.49,9.36,13.2
67.2,39.16,47.2,0.8,67.2,42.32,9.36,13.2
67.21,38.85,47.14,0.8,67.21,42.04,9.28,13.2
67.21,38.86,47.14,0.8,67.21,42.05,9.28,13.2
65.41,33.6,41.37,0.71,65.41,38.4,10.0,63.3
65.0,34.04,40.69,0.7,65.0,37.97,10.0,63.3
64.95,33.9,40.6,0.7,64.95,37.87,10.0,63.3
65.71,34.19,42.35,0.72,65.71,38.9,9.99,63.3
65.01,33.97,40.72,0.7,65.01,37.94,10.0,63.3
65.67,34.64,42.45,0.72,65.67,39.27,9.99,63.3
62.44,31.47,36.73,0.72,62.44,35.8,9.97,17.8
63.55,32.34,33.62,0.65,63.55,35.97,9.98,17.8
63.71,34.31,35.22,0.67,63.71,36.15,9.98,17.8
63.74,34.31,35.29,0.68,63.74,36.13,9.98,17.8
62.1,31.51,39.51,0.76,62.1,37.07,10.0,17.8
62.02,31.49,39.49,0.76,62.02,37.14,10.0,17.8
40.48,25.55,31.97,0.88,40.48,30.57,5.34,66.0
39.03,24.73,31.48,0.89,39.03,29.55,4.92,66.0
41.09,23.75,32.02,0.89,41.09,29.64,4.32,66.0
40.93,24.42,32.22,0.88,40.93,30.21,4.78,66.0
41.01,23.96,32.07,0.88,41.01,29.81,4.47,66.0
41.77,22.47,31.54,0.88,41.77,28.44,4.19,66.0
63.93,24.41,30.15,0.61,63.93,30.37,9.97,14.5
63.96,24.39,30.28,0.62,63.96,30.37,9.97,14.5
63.0,23.51,29.82,0.63,63.0,30.29,9.97,14.5
62.99,23.5,30.1,0.63,62.99,30.15,9.97,14.5
62.9,23.01,29.84,0.64,62.9,29.57,9.97,14.5
63.57,23.36,30.91,0.65,63.57,29.12,9.99,14.5
64.72,29.36,41.08,0.77,64.72,34.9,9.04,15.3
65.05,30.77,40.84,0.75,65.05,35.88,9.27,15.3
64.46,30.82,40.23,0.76,64.46,35.03,9.46,15.3
64.67,29.9,41.32,0.77,64.67,35.41,9.15,15.3
64.14,30.51,41.61,0.78,64.14,35.68,9.2,15.3
64.7,29.82,41.19,0.77,64.7,35.25,9.1,15.3
67.95,36.58,46.34,0.78,67.95,40.8,9.86,25.3
67.88,36.49,46.27,0.78,67.88,40.75,9.84,25.3
67.88,36.41,46.23,0.78,67.88,40.7,9.84,25.3
67.51,36.66,46.7,0.79,67.51,40.78,9.59,25.3
67.6,36.5,46.62,0.79,67.6,40.69,9.62,25.3
66.76,38.57,47.55,0.81,66.76,41.96,9.32,25.3
65.97,34.22,43.74,0.77,65.97,38.26,9.57,42.4
65.43,35.66,43.38,0.75,65.43,39.26,9.83,42.4
66.28,35.88,44.1,0.75,66.28,39.45,9.83,42.4
66.25,35.83,44.06,0.75,66.25,39.39,9.82,42.4
66.22,35.78,43.9,0.75,66.22,39.24,9.81,42.4
66.18,35.82,43.92,0.75,66.18,39.29,9.82,42.4
63.04,43.66,45.21,0.71,63.04,46.73,9.84,33.8
62.18,42.76,44.98,0.73,62.18,46.11,9.81,33.8
62.42,42.63,45.56,0.74,62.42,46.2,9.85,33.8
62.52,42.59,45.66,0.74,62.52,46.24,9.85,33.8
62.36,42.72,45.29,0.73,62.36,46.17,9.83,33.8
63.07,43.11,47.13,0.78,63.07,46.37,9.83,33.8
65.1,32.99,38.61,0.71,65.1,36.49,10.0,9.1
65.1,32.91,38.54,0.71,65.1,36.43,10.0,9.1
64.27,34.03,37.49,0.7,64.27,37.08,10.0,9.1
64.35,34.16,37.66,0.7,64.35,37.18,10.0,9.1
62.76,31.83,39.58,0.75,62.76,37.34,10.0,9.1
64.2,32.29,39.78,0.74,64.2,37.24,10.0,9.1
64.4,31.22,42.23,0.78,64.4,36.66,9.47,14.0
64.33,30.98,42.26,0.78,64.33,36.4,9.44,14.0
65.72,32.53,41.49,0.74,65.72,37.51,9.54,14.0
64.74,30.45,41.35,0.77,64.74,35.83,9.25,14.0
64.59,31.51,42.0,0.77,64.59,36.89,9.49,14.0
64.84,31.67,41.93,0.76,64.84,36.98,9.56,14.0
58.85,29.21,35.58,0.74,58.85,33.83,9.71,34.0
58.06,26.92,33.68,0.7,58.06,33.04,9.83,34.0
58.41,27.15,34.44,0.72,58.41,33.38,9.76,34.0
58.84,30.11,35.34,0.74,58.84,34.58,9.77,34.0
58.6,28.42,34.88,0.73,58.6,34.4,9.75,34.0
58.73,29.24,35.09,0.73,58.73,35.05,9.76,34.0
59.28,31.53,35.95,0.67,59.28,35.98,9.86,49.3
58.96,32.77,35.69,0.68,58.96,36.85,9.86,49.3
58.85,32.7,35.56,0.68,58.85,36.79,9.86,49.3
59.43,32.29,36.0,0.68,59.43,37.23,9.86,49.3
59.49,32.18,36.07,0.68,59.49,36.99,9.86,49.3
59.27,31.7,36.21,0.71,59.27,37.05,9.76,49.3
62.09,34.05,39.84,0.75,62.09,39.42,9.81,28.0
62.12,34.38,40.15,0.75,62.12,40.14,9.81,28.0
62.51,34.94,41.49,0.79,62.51,40.18,9.79,28.0
42.79,21.35,26.5,0.71,44.82,27.12,10.0,40.8
42.61,24.29,28.4,0.78,42.61,28.69,9.96,40.8
42.56,24.16,28.43,0.78,42.56,28.71,9.97,40.8
42.37,23.4,28.53,0.77,42.37,28.67,10.0,40.8
